,_record_id,_title,_server_updated_at,_updated_by,_geometry,282_payment_method_that_purchase,283_fulfill_needs,237_distance_household_interviewee,299_means_transportation_consumer,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee
0,060a856c-e3b8-41a7-b680-9756172d1c29,"November 12, 2022",2022-11-12 22:43:08 UTC,Ulises Núñez Bautista,SRID=4326;POINT(-98.2349802856 19.0598413203),Efectivo,no,0 a 3 cuadras,A pie,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,Banco,no,no,Male,Cafeteria,Paleteria El Carmen,Foto no proporcionada,19.0598413203,-98.2349802856,1.0,1.0,0.0,0.0,0.0,0.0,35.0
1,c42fdf22-b93b-443e-8f46-6043613cb0c3,"November 12, 2022",2022-11-12 22:15:02 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2335660729 19.05847939),Efectivo,yes,7 a 10 cuadras,A pie,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,Banco,no,no,Female,Grocery store (aka. nanostore),Gerardo Saénz,Foto no proporcionada,19.05847939,-98.2335660729,1.0,1.0,2.0,0.0,35.0,50.0,27.0
2,3ccaedc0-949e-4555-afad-b2e1d77c3219,"November 12, 2022",2022-11-12 22:15:02 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2303385023 19.0620767997),Efectivo,yes,más de 10 cuadras,Automóvil,CFE,yes,Tienda de conveniencia (e.g. OXXO),yes,Proveedor de gas,yes,"Supermercado,Tienda de conveniencia (e.g. OXXO)",yes,Banco,no,no,Female,Micro-restaurant (aka. fondita),Rozt,1 Photo,19.0620767997,-98.2303385023,1.0,0.0,0.0,0.0,40.0,25.0,42.0
3,91d8a240-af2c-451b-900f-3480f82e05db,"November 12, 2022",2022-11-12 20:41:38 UTC,Jorge Alberto Ostorga Flores,SRID=4326;POINT(-98.2329163449 19.0555346049),Tarjeta de débito y/o crédito,yes,4 a 6 cuadras,Motocicleta,Supermercado,no,Supermercado,no,Proveedor de gas,no,No lo hago,no,Banco,no,no,Female,Cafeteria,Café Colibrí,1 Photo,19.0555346049,-98.2329163449,1.0,2.0,3.0,0.0,0.0,0.0,27.0
4,3efefc56-bd45-4e4a-bf02-ab725e9fb41a,"November 12, 2022",2022-11-12 19:49:13 UTC,Jorge Alberto Ostorga Flores,SRID=4326;POINT(-98.2329944224 19.0590117522),Efectivo,yes,más de 10 cuadras,Transporte público,CFE,no,Supermercado,no,Proveedor de gas,no,Supermercado,no,No lo hago,no,no,Female,Cafeteria,La fête,1 Photo,19.0590117522,-98.2329944224,1.0,2.0,5.0,0.0,0.0,50.0,35.0
5,4b3d6f54-daee-4ffb-b0dc-dca0f9c1f943,"November 11, 2022",2022-11-12 00:08:22 UTC,Sergio Licea,SRID=4326;POINT(-98.1972511858 19.0486443867),Efectivo,yes,más de 10 cuadras,Transporte público,CFE,yes,Banco,yes,Banco,yes,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,no,Female,Grocery store (aka. nanostore),Dulcerías Candy,1 Photo,19.0486443867,-98.1972511858,1.0,0.0,0.0,0.0,120.0,70.0,66.0
6,44a828cf-2085-4889-bc34-0ade8ae6ed91,"November 11, 2022",2022-11-11 23:38:10 UTC,Sergio Licea,SRID=4326;POINT(-98.1953940913 19.0476993375),Efectivo,yes,más de 10 cuadras,Automóvil,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,Tienda de conveniencia (e.g. OXXO),no,"Supermercado,Tienda de conveniencia (e.g. OXXO)",yes,Tienda de conveniencia (e.g. OXXO),no,no,Female,Artículos del hogar,SUPER & ALMACENES AW,1 Photo,19.0476993375,-98.1953940913,1.0,1.0,7.0,2.0,200.0,100.0,30.0
7,3231569e-f89a-4904-88e5-a6939c8a2860,"November 4, 2022",2022-11-11 23:12:50 UTC,Hiram Jiménez,SRID=4326;POINT(-98.3104972 19.0644612),Efectivo,yes,más de 10 cuadras,Transporte público,Tienda de conveniencia (e.g. OXXO),yes,"No lo hago,Sistema de agua",yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,yes,no,Female,Butcher shop,Carniceria la sorpresa ,1 Photo,19.0644612,-98.3104972,1.0,1.0,0.0,0.0,80.0,80.0,38.0
8,3a5b7111-ffaa-48b3-9ec4-125a94580b66,"November 9, 2022",2022-11-11 22:08:26 UTC,José Varela,SRID=4326;POINT(-98.3113835 19.060884),Efectivo,yes,7 a 10 cuadras,A pie,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,"Fonda,Tiendita",yes,Banco,yes,yes,Male,Grocery store (aka. nanostore),Tienda Jaime,1 Photo,19.060884,-98.3113835,3.0,0.0,0.0,0.0,100.0,100.0,18.0
9,70f001bf-b020-413f-967f-c7d558c9f6be,"November 10, 2022",2022-11-11 17:23:45 UTC,Manuel Flores,SRID=4326;POINT(-98.2154550929 19.0183906637),Efectivo,yes,0 a 3 cuadras,A pie,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,yes,Tienda de conveniencia (e.g. OXXO),yes,"Tienda de conveniencia (e.g. OXXO),Tiendita",yes,Tienda de conveniencia (e.g. OXXO),yes,no,Female,Grocery store (aka. nanostore),Frutas y snack bar,2 Photos,19.0183906637,-98.2154550929,2.0,1.0,4.0,0.0,8.0,8.0,20.0
10,0c23bf28-c128-48c6-b42e-c578c4e59862,"November 10, 2022",2022-11-11 17:23:44 UTC,Manuel Flores,SRID=4326;POINT(-98.215541169 19.0183779545),Efectivo,yes,0 a 3 cuadras,Automóvil,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,yes,No lo hago,no,No lo hago,yes,yes,Male,Grocery store (aka. nanostore),Los 3 compadres,1 Photo,19.0183779545,-98.215541169,5.0,2.0,5.0,0.0,8.0,8.0,21.0
11,8e205a60-697a-4332-8d75-3e4b0b78241b,"November 10, 2022",2022-11-11 04:39:34 UTC,Sergio Licea,SRID=4326;POINT(-98.2007074 19.048506),Efectivo,yes,más de 10 cuadras,Transporte público,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Tienda de conveniencia (e.g. OXXO)",yes,yes,Female,Grocery store (aka. nanostore),Dulceria La Económica ,Foto no proporcionada,19.048506,-98.2007074,1.0,0.0,0.0,6.0,200.0,100.0,32.0
12,691fc5cc-0002-44b0-8fac-499ab192758e,"November 10, 2022",2022-11-10 20:29:12 UTC,Daniel Serrano,SRID=4326;POINT(-98.2632802 19.0345269),Efectivo,yes,0 a 3 cuadras,A pie,"CFE,Tiendita",No proporcionado,"Sistema de agua,Tiendita",No proporcionado,Proveedor de gas,no,"Tienda de conveniencia (e.g. OXXO),Tiendita",yes,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,Male,Butcher shop,Pollería ,1 Photo,19.0345269,-98.2632802,2.0,1.0,0.0,0.0,20.0,0.0,40.0
13,fb68965b-edd7-4623-91dc-fd75c0d0be57,"November 10, 2022",2022-11-10 20:25:37 UTC,Daniel Serrano,SRID=4326;POINT(-98.2632757723 19.0344490665),Efectivo,yes,4 a 6 cuadras,A pie,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Banco,no,no,Female,Butcher shop,Pollería ,1 Photo,19.0344490665,-98.2632757723,2.0,2.0,0.0,0.0,15.0,15.0,30.0
14,84679011-2e04-462b-8ef3-d219ad8bc841,"November 10, 2022",2022-11-10 20:19:09 UTC,Daniel Serrano,SRID=4326;POINT(-98.2625455409 19.0356886303),Efectivo,yes,4 a 6 cuadras,A pie,CFE,yes,Sistema de agua,yes,Proveedor de gas,no,"Tienda de conveniencia (e.g. OXXO),Tiendita",yes,Banco,no,yes,Male,Grocery store (aka. nanostore),Urigama,1 Photo,19.0356886303,-98.2625455409,1.0,2.0,1.0,0.0,25.0,10.0,35.0
15,7733ef86-89bc-4ece-82ed-4b92366c07ab,"November 10, 2022",2022-11-10 20:06:53 UTC,Daniel Serrano,SRID=4326;POINT(-98.2625173777 19.035646794),Efectivo,yes,4 a 6 cuadras,A pie,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,Male,Grocery store (aka. nanostore),Urigama,1 Photo,19.035646794,-98.2625173777,3.0,1.0,0.0,0.0,25.0,30.0,14.0
16,62be24fe-fb4e-4c2d-bccb-783e76b172e3,"November 10, 2022",2022-11-10 20:01:37 UTC,Daniel Serrano,SRID=4326;POINT(-98.2624756 19.0357912),Efectivo,yes,7 a 10 cuadras,A pie,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,Banco,no,no,Male,Grocery store (aka. nanostore),Croquetería & accesorios para tu mascota,1 Photo,19.0357912,-98.2624756,1.0,2.0,0.0,0.0,50.0,20.0,25.0
17,313e2efe-ab9b-48a1-be74-6dcc0b16d483,"November 10, 2022",2022-11-10 19:56:19 UTC,Daniel Serrano,SRID=4326;POINT(-98.2623266056 19.0361783046),Efectivo,yes,0 a 3 cuadras,A pie,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",No proporcionado,"Sistema de agua,Tienda de conveniencia (e.g. OXXO),Tiendita",No proporcionado,"Proveedor de gas,Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,"Tienda de conveniencia (e.g. OXXO),Tiendita",no,Tienda de conveniencia (e.g. OXXO),no,no,Female,Dairy products,Don Beto ,1 Photo,19.0361783046,-98.2623266056,2.0,0.0,0.0,0.0,15.0,15.0,54.0
18,3a0ae19e-eaae-4809-8029-c2c025f9045a,"November 10, 2022",2022-11-10 19:50:41 UTC,Manuel Flores,SRID=4326;POINT(-98.2170814276 19.0197941918),Efectivo,yes,0 a 3 cuadras,A pie,Tienda de conveniencia (e.g. OXXO),no,Banco,no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,Male,Grocery store (aka. nanostore),La aztorga,2 Photos,19.0197941918,-98.2170814276,5.0,2.0,0.0,0.0,10.0,10.0,46.0
19,02e4f514-1de2-4dd5-b16e-e8f83a62ec1f,"November 10, 2022",2022-11-10 19:50:36 UTC,Daniel Serrano,SRID=4326;POINT(-98.2626327127 19.0364229827),Transferencia interbancaria,no,4 a 6 cuadras,A pie,"CFE,Tienda de conveniencia (e.g. OXXO)",yes,Sistema de agua,yes,Proveedor de gas,yes,No lo hago,no,Tienda de conveniencia (e.g. OXXO),no,yes,Male,Produce (fruits & vegetables),Pollería Rosi ,1 Photo,19.0364229827,-98.2626327127,3.0,0.0,1.0,0.0,20.0,20.0,22.0
20,beb77ac6-85a0-4caf-a7e7-59996bcbbd7f,"November 10, 2022",2022-11-10 19:42:10 UTC,Daniel Serrano,SRID=4326;POINT(-98.2626444474 19.0363551575),Efectivo,yes,más de 10 cuadras,Automóvil,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,"No lo hago,transferencia ",no,no,Female,Produce (fruits & vegetables),Pollería Rosi ,1 Photo,19.0363551575,-98.2626444474,2.0,3.0,1.0,0.0,30.0,15.0,40.0
21,6570ebe1-68b9-4bee-aa1b-4606d486ff75,"November 10, 2022",2022-11-10 19:33:38 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.263451 19.0367483),Efectivo,yes,más de 10 cuadras,Automóvil,Tienda de conveniencia (e.g. OXXO),yes,Internet,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,yes,Male,Grocery store (aka. nanostore),Miscelanea Juquilita,1 Photo,19.0367483,-98.263451,1.0,2.0,1.0,0.0,40.0,20.0,19.0
22,7470508d-e4ea-4a60-ab9e-b96f2f1dc4c8,"November 10, 2022",2022-11-10 19:33:22 UTC,Daniel Serrano,SRID=4326;POINT(-98.2635697 19.0366637),Efectivo,yes,4 a 6 cuadras,A pie,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,no,Female,Dairy products,Misc. Juquilita ,1 Photo,19.0366637,-98.2635697,3.0,0.0,0.0,0.0,15.0,30.0,27.0
23,e304cd5f-5ae8-4f7d-a7f6-c09e0094fb82,"November 3, 2022",2022-11-10 00:58:39 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2641572133 19.0345641171),Efectivo,yes,más de 10 cuadras,Transporte público,No lo hago,yes,No lo hago,yes,No lo hago,yes,No lo hago,yes,No lo hago,no,no,Male,Grocery store (aka. nanostore),Minisuper Rayitas,1 Photo,19.0345641171,-98.2641572133,2.0,2.0,5.0,0.0,150.0,150.0,18.0
24,3ec7d304-f11a-431d-8731-6e2f29fbb85e,"November 3, 2022",2022-11-10 00:58:39 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2666610554 19.0351390524),Efectivo,yes,más de 10 cuadras,Transporte público,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,Male,Grocery store (aka. nanostore),La Universal,1 Photo,19.0351390524,-98.2666610554,1.0,1.0,0.0,0.0,100.0,150.0,18.0
25,0ceecc2f-6bf6-4b37-a39a-d0089a18c0b5,"November 3, 2022",2022-11-10 00:58:38 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2671411708 19.0352819935),Tarjeta de débito y/o crédito,yes,más de 10 cuadras,Automóvil,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,Male,Micro-restaurant (aka. fondita),Taquería Don Jorge,1 Photo,19.0352819935,-98.2671411708,1.0,1.0,0.0,0.0,100.0,100.0,15.0
26,0fbcf473-39af-4f09-a325-91a2d235ed4a,"November 7, 2022",2022-11-10 00:01:22 UTC,Leoncio Mora Díaz,SRID=4326;POINT(-98.2488074989 19.0315343616),Tarjeta de débito y/o crédito,yes,0 a 3 cuadras,A pie,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,Banco,no,no,Male,Grocery store (aka. nanostore),Aren salón de belleza ,1 Photo,19.0315343616,-98.2488074989,1.0,0.0,0.0,0.0,50.0,30.0,29.7
27,57358cdd-eb9f-43f6-94be-bcf79e0664e3,"November 7, 2022",2022-11-10 00:01:22 UTC,Leoncio Mora Díaz,SRID=4326;POINT(-98.2492553477 19.0258156295),Transferencia interbancaria,yes,7 a 10 cuadras,Automóvil,App,yes,App,yes,Automático ,yes,Plan ,yes,Banco,yes,no,Female,Micro-restaurant (aka. fondita),Con sabor a hogar ,1 Photo,19.0258156295,-98.2492553477,5.0,8.0,2.0,0.0,39.0,0.0,35.0
28,667e21ba-3e9f-4f4d-b23a-495986377506,"November 7, 2022",2022-11-10 00:00:57 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2488052547 19.0319169806),Tarjeta de débito y/o crédito,yes,más de 10 cuadras,Automóvil,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Tienda de conveniencia (e.g. OXXO)",yes,no,Male,Grocery store (aka. nanostore),SIX,Foto no proporcionada,19.0319169806,-98.2488052547,1.0,2.0,2.0,0.0,25.0,25.0,18.0
29,44f08598-31d4-4172-ae01-5c3d6245aa09,"November 7, 2022",2022-11-10 00:00:56 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2489068434 19.0313727784),Efectivo,yes,más de 10 cuadras,Transporte público,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,yes,Male,Cafeteria,Tortas el primo ,1 Photo,19.0313727784,-98.2489068434,1.0,1.0,1.0,2.0,15.0,60.0,20.0
30,1e4edc4d-22ab-4a1d-86e2-04169ae02335,"November 7, 2022",2022-11-10 00:00:56 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2494191453 19.0267601411),Tarjeta de débito y/o crédito,yes,7 a 10 cuadras,Automóvil,CFE,no,"Sistema de agua,Tienda de conveniencia (e.g. OXXO)",no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,Male,Cafeteria,DON MOY,1 Photo,19.0267601411,-98.2494191453,1.0,5.0,6.0,3.0,150.0,200.0,38.0
31,71df3b78-0538-44d6-a483-03111d32a2f0,"November 7, 2022",2022-11-10 00:00:53 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2502124086 19.0265566535),Efectivo,yes,0 a 3 cuadras,A pie,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Banco,yes,no,Female,Grocery store (aka. nanostore),"FRUTAS, VERDURAS Y ABARROTES D’NYS",1 Photo,19.0265566535,-98.2502124086,1.9,0.0,0.0,0.0,50.0,50.0,65.0
32,5453a849-f695-4f4a-bb8e-0e81eabda7df,"November 7, 2022",2022-11-10 00:00:52 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2492511719 19.0256704332),Efectivo,yes,7 a 10 cuadras,Automóvil,"CFE,Celular (aplicación)",yes,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),no,yes,Female,Produce (fruits & vegetables),ABARROTES FRUTAS Y VERDURAS “HERNÁNDEZ”,1 Photo,19.0256704332,-98.2492511719,4.0,1.0,0.0,0.0,50.0,100.0,42.0
33,d97dbd74-c8fd-4388-ba5f-e1b875e5b86d,"November 7, 2022",2022-11-10 00:00:52 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2491542771 19.025403552),Efectivo,yes,más de 10 cuadras,Automóvil,Aplicación ,No proporcionado,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,yes,Male,Grocery store (aka. nanostore),Misceláneas San Juditas,1 Photo,19.025403552,-98.2491542771,4.0,6.0,4.0,0.0,50.0,50.0,50.0
34,d858040d-2adb-4830-84b4-407d0de306c8,"November 4, 2022",2022-11-09 23:32:33 UTC,José Zapata,SRID=4326;POINT(-98.217873 19.01854),Efectivo,yes,0 a 3 cuadras,A pie,CFE,yes,Sistema de agua,yes,Aplicación,yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,yes,Male,Grocery store (aka. nanostore),Recaudattán,1 Photo,19.01854,-98.217873,4.0,2.0,2.0,0.0,30.0,30.0,20.0
35,93f89401-7f8b-4ef3-ba89-a3f407b4ef69,"November 9, 2022",2022-11-09 23:19:13 UTC,Amaranta Hernández,SRID=4326;POINT(-98.166423887 19.072236547),Efectivo,yes,0 a 3 cuadras,A pie,CFE,no,Sistema de agua,no,Proveedor de gas,no,"Farmacia ,Tienda de conveniencia (e.g. OXXO)",yes,No lo hago,no,no,Female,Grocery store (aka. nanostore),ILYA PAPELERÍA ,1 Photo,19.072236547,-98.166423887,1.9,0.0,0.0,0.0,0.0,0.0,67.0
36,328e10e9-cc6d-47d5-8cee-1cc56e2201bd,"November 9, 2022",2022-11-09 23:19:12 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1656574458 19.0723740694),Efectivo,yes,0 a 3 cuadras,A pie,App,no,App,no,App,no,App,yes,No lo hago,no,no,Female,Micro-restaurant (aka. fondita),Antojitos ,1 Photo,19.0723740694,-98.1656574458,5.0,3.0,1.0,0.0,0.0,0.0,33.0
